52.356,4.849,Amsterdam,Took part in a student exchange program.
41.362,2.147,Barcelona,One of my favourites cities after London.
44.467,26.069,Bucharest,Capital of Romania and where I go to university.
45.128,26.816,Buzau,My small hometown.
53.358,-6.242,Dublin,My sister lives here.
47.082,15.438,Graz,Many of my aunts and uncles live here.
51.470,-0.075,London,One of my favourite cities, lots of thing to do here.
